ranking,query,sort_by_filter,video_id,video_url
6,what is fentanyl,relevance,Z1bs3Wm6DlY,https://www.youtube.com/watch?v=Z1bs3Wm6DlY
7,what is fentanyl,relevance,2awPPVKmpRQ,https://www.youtube.com/watch?v=2awPPVKmpRQ
8,what is fentanyl,relevance,2nGdT9Ldaks,https://www.youtube.com/watch?v=2nGdT9Ldaks
9,what is fentanyl,relevance,2i4mgeTj2hQ,https://www.youtube.com/watch?v=2i4mgeTj2hQ
10,what is fentanyl,relevance,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
1,what is fentanyl,viewCount,28rJqj-7pEY,https://www.youtube.com/watch?v=28rJqj-7pEY
2,what is fentanyl,viewCount,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
3,what is fentanyl,viewCount,C0tW8FWBm1g,https://www.youtube.com/watch?v=C0tW8FWBm1g
4,what is fentanyl,viewCount,BjsSuWKz2s0,https://www.youtube.com/watch?v=BjsSuWKz2s0
5,what is fentanyl,viewCount,xU4AGIQWqVU,https://www.youtube.com/watch?v=xU4AGIQWqVU
6,what is fentanyl,viewCount,2rvFfbI3nmI,https://www.youtube.com/watch?v=2rvFfbI3nmI
7,what is fentanyl,viewCount,2awPPVKmpRQ,https://www.youtube.com/watch?v=2awPPVKmpRQ
8,what is fentanyl,viewCount,n55bpt-6O7Q,https://www.youtube.com/watch?v=n55bpt-6O7Q
9,what is fentanyl,viewCount,hSsKgM8-SfE,https://www.youtube.com/watch?v=hSsKgM8-SfE
10,what is fentanyl,viewCount,cidH_i4BA10,https://www.youtube.com/watch?v=cidH_i4BA10
1,what is fentanyl,date,bAlTyb9vEOM,https://www.youtube.com/watch?v=bAlTyb9vEOM
2,what is fentanyl,date,JPpdnX_-KO8,https://www.youtube.com/watch?v=JPpdnX_-KO8
3,what is fentanyl,date,eT2hVWI6DMM,https://www.youtube.com/watch?v=eT2hVWI6DMM
4,what is fentanyl,date,0yQOQs5unLw,https://www.youtube.com/watch?v=0yQOQs5unLw
5,what is fentanyl,date,IQb7ZGBfG_c,https://www.youtube.com/watch?v=IQb7ZGBfG_c
